name,address,lat,lon,thumbnail,type,special_interest
San Francisco Museum of Modern Art,"151 3rd St (btwn Mission & Howard St), San Francisco, CA 94103",37.78589,-122.40075,https://fastly.4sqi.net/img/general/original/17653988_ythbUIVvKqzW1bnchRNzL8wYmOYOhCcn0bT98X-4oOo.jpg,galleries,False
SFMOMA Rooftop Sculpture Garden,"151 3rd St, San Francisco, CA 94105",37.785827,-122.40079,https://fastly.4sqi.net/img/general/original/3016_MddC8XRFdBgTPbK_1hKwvhFiU4t8WJTxJmrngkDFzns.jpg,galleries,False
Yerba Buena Center for the Arts,"701 Mission St (at 3rd St), San Francisco, CA 94103",37.78557,-122.40207,https://fastly.4sqi.net/img/general/original/30827995_xIgpU_Lx7W-UaGUx5gOD_a3Pg18_6YPbf_gxhWKbfQc.jpg,galleries,False
Contemporary Jewish Museum,"736 Mission St (btwn 3rd & 4th St), San Francisco, CA 94103",37.786037,-122.403598,https://fastly.4sqi.net/img/general/original/247980_pr35bs2GWhyN8JY-lZKRPF6M1KqSMc9OSrpZDP02bQQ.jpg,galleries,False
The San Francisco Mint,"88 5th St (at Mission St), San Francisco, CA 94103",37.782726,-122.40719,https://fastly.4sqi.net/img/general/original/37288337_dNiL6eEbr9CCpYS7rSWJQC-LvpW_lq4Oa3rqfRb8njU.jpg,galleries,False
Asian Art Museum,"200 Larkin St (at McAllister St), San Francisco, CA 94102",37.780247,-122.416176,https://fastly.4sqi.net/img/general/original/24644_OaWzB0CyRTNbg5ihwkIL9hECC0ZkppyjrKPNJS9BCjw.jpg,galleries,False
Cable Car Museum,"1201 Mason St (at Washington St), San Francisco, CA 94108",37.794838,-122.411865,https://fastly.4sqi.net/img/general/original/1412178727_KD2fti-M1-_GSCgcGSQm-7rKDOC6EqIX2ckUY6mvQ1U.jpg,galleries,False
The Exploratorium,"Pier 15 (at The Embarcadero), San Francisco, CA 94111",37.801533,-122.39757,https://fastly.4sqi.net/img/general/original/84465_qAW1uGtqLzcmqXymgxdo8w87Fa2JLNi_bPjPUQzE5-0.jpg,galleries,False
Musee Mecanique,"45 Pier (at Taylor St), San Francisco, CA 94133",37.809353,-122.416087,https://fastly.4sqi.net/img/general/original/1834082_UhKLIi_wVCqLLs1M7m21e4-2lGZpejteUSN5qQmyj4M.jpg,galleries,False
The Glass Room,"838 Market St, San Francisco, CA 94102",37.785331,-122.406854,https://fastly.4sqi.net/img/general/original/533588679_VAW4gO0gpni4xrWbXfTMtf-oIzRrlqREIJpjZ6rystM.jpg,galleries,False
CCA Wattis Institute for Contemporary Arts,"360 Kansas St (at 16th St), San Francisco, CA 94103",37.765297,-122.403953,https://fastly.4sqi.net/img/general/original/9337194_DmNdgkqEGpR2FBzznLboOQztn5GUuk1tBi_o1kqctTE.jpg,galleries,False
The American Bookbinders Museum,"355 Clementina St, San Francisco, CA 94103",37.781332,-122.402747,https://fastly.4sqi.net/img/general/original/161447845_RIP-zITLJkOC9AQdvmB9-Oe950QScrXqnuAzxmi2m8M.png,galleries,False
Pier 24,"24 Pier (at Harrison St), San Francisco, CA 94105",37.789429,-122.38781,https://fastly.4sqi.net/img/general/original/130930819_MhlmRW4rTjumJwpsDQHEXarwQ-pThJimMPZIP1dfgME.jpg,galleries,False
San Francisco Railway Museum,"77 Steuart St (at Don Chee Way), San Francisco, CA 94105",37.793645,-122.393364,https://fastly.4sqi.net/img/general/original/37786610_esvyTaZkIoEVl4S1Rx5rEvILVgOTVKqbz_4Kwr-rLTk.jpg,galleries,False
SS Jeremiah O'Brien,"Pier 45 (at The Embarcadero), San Francisco, CA 94133",37.80937,-122.416084,https://fastly.4sqi.net/img/general/original/2196276_z1E6mE9aPJU0ez5tUlqyQxvaHJzi28h3S5twxeLxHTo.jpg,galleries,False
Counterpulse,"1310 Mission St (at 9th St.), San Francisco, CA 94103",37.776173,-122.415131,https://fastly.4sqi.net/img/general/original/107103_fCfmJw7KDBzEaEHSHdyAMj6YERy5ONs4XmEK2J2EkK0.jpg,galleries,False
Wells Fargo History Museum,"420 Montgomery St (at California St), San Francisco, CA 94104",37.793373,-122.402664,https://fastly.4sqi.net/img/general/original/66210085_g8bpSyxS7gOM4YxzWbHNGiqCjgHWM57i7_9QTsGgjXU.jpg,galleries,False
California Historical Society,"678 Mission St (at Annie St), San Francisco, CA 94105",37.78696,-122.401634,https://fastly.4sqi.net/img/general/original/165015_i5_Su1K9Yw3n8YUMIQPFIm7LPXrRAnkg9ydQOkwFDqo.jpg,galleries,False
The Beat Museum,"540 Broadway (btwn Columbus Ave & Kearny St), San Francisco, CA 94133",37.798188,-122.406179,https://fastly.4sqi.net/img/general/original/7251690_n9T047xrDs49TzJadq0GnkK8McEBMTK1ssdnhZBlrd8.jpg,galleries,False
Cartoon Art Museum,"781 Beach St, San Francisco, CA 94109",37.78679,-122.400955,https://fastly.4sqi.net/img/general/original/47321_7nFaypQCx5YjtPJYwcCi1dQKz5yOaiPZUfvZzIvDzFs.jpg,galleries,False
